Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1381,Alex Král,cz CZE,MF,Union Berlin,de Bundesliga,25.0,1998.0,15.2,340.0,487.0,69.8,5624.0,1533.0,158.0,196.0,80.6,149.0,196.0,76.0,24.0,55.0,43.6,0.0,0.4,0.5,-0.4,5.0,32.0,6.0,2.0,44.0,Matches
1382,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,de Bundesliga,32.0,1991.0,24.4,904.0,1139.0,79.4,13884.0,3748.0,494.0,558.0,88.5,305.0,373.0,81.8,72.0,132.0,54.5,6.0,7.3,7.0,-1.3,78.0,67.0,22.0,3.0,119.0,Matches
1383,Christoph Kramer,de GER,MF,Gladbach,de Bundesliga,32.0,1991.0,2.8,145.0,183.0,79.2,1896.0,667.0,87.0,108.0,80.6,38.0,43.0,88.4,7.0,12.0,58.3,0.0,0.1,0.4,-0.1,2.0,14.0,1.0,0.0,17.0,Matches
1384,Frans Krätzig,de GER,DF,Bayern Munich,de Bundesliga,20.0,2003.0,0.6,45.0,50.0,90.0,705.0,183.0,24.0,26.0,92.3,18.0,20.0,90.0,2.0,3.0,66.7,0.0,0.3,0.1,-0.3,2.0,3.0,1.0,0.0,7.0,Matches
1385,Tom Krauß,de GER,MF,Mainz 05,de Bundesliga,22.0,2001.0,15.0,486.0,651.0,74.7,7591.0,2399.0,262.0,314.0,83.4,186.0,228.0,81.6,28.0,61.0,45.9,2.0,0.4,0.8,+1.6,7.0,42.0,9.0,2.0,68.0,Matches
1386,Rasmus Kristensen,dk DEN,DF,Roma,it Serie A,26.0,1997.0,19.4,799.0,1037.0,77.0,12574.0,3602.0,413.0,468.0,88.2,323.0,408.0,79.2,43.0,100.0,43.0,1.0,0.9,1.3,+0.1,12.0,35.0,11.0,8.0,40.0,Matches
1387,Thomas Kristensen,dk DEN,DF,Udinese,it Serie A,21.0,2002.0,23.3,662.0,863.0,76.7,12745.0,5457.0,262.0,307.0,85.3,316.0,399.0,79.2,77.0,132.0,58.3,1.0,0.4,0.2,+0.6,4.0,33.0,2.0,0.0,47.0,Matches
1388,Toni Kroos,de GER,MF,Real Madrid,es La Liga,33.0,1990.0,23.6,2291.0,2505.0,91.5,42164.0,15443.0,1087.0,1121.0,97.0,828.0,881.0,94.0,333.0,438.0,76.0,8.0,4.9,5.9,+3.1,62.0,327.0,23.0,5.0,290.0,Matches
1389,Nikola Krstović,me MNE,FW,Lecce,it Serie A,23.0,2000.0,26.4,354.0,526.0,67.3,4950.0,1126.0,207.0,284.0,72.9,97.0,128.0,75.8,22.0,35.0,62.9,1.0,3.0,1.7,-2.0,41.0,28.0,14.0,1.0,52.0,Matches
1390,Rade Krunić,ba BIH,MF,Milan,it Serie A,29.0,1993.0,7.6,388.0,431.0,90.0,5999.0,1258.0,195.0,209.0,93.3,161.0,179.0,89.9,19.0,23.0,82.6,0.0,0.5,0.3,-0.5,5.0,17.0,2.0,0.0,24.0,Matches
1391,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,30.0,1992.0,20.5,805.0,1030.0,78.2,13760.0,4910.0,379.0,427.0,88.8,340.0,423.0,80.4,74.0,146.0,50.7,0.0,0.3,0.6,-0.3,4.0,74.0,4.0,2.0,70.0,Matches
1392,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,es La Liga,22.0,2001.0,23.9,611.0,862.0,70.9,9540.0,2892.0,353.0,417.0,84.7,183.0,255.0,71.8,54.0,116.0,46.6,4.0,6.4,6.5,-2.4,58.0,38.0,31.0,5.0,89.0,Matches
1393,Mahmut Kücüksahin,,MF,Augsburg,de Bundesliga,19.0,2004.0,0.0,4.0,4.0,100.0,59.0,17.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
1394,Mohammed Kudus,gh GHA,"FW,MF",West Ham,eng Premier League,22.0,2000.0,27.6,677.0,875.0,77.4,11263.0,1764.0,357.0,405.0,88.1,231.0,281.0,82.2,70.0,108.0,64.8,6.0,3.5,3.7,+2.5,28.0,32.0,29.0,16.0,80.0,Matches
1395,Christian Kühlwetter,de GER,MF,Heidenheim,de Bundesliga,27.0,1996.0,0.1,1.0,2.0,50.0,24.0,11.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,,1.0,0.6,0.4,+0.4,1.0,0.0,0.0,0.0,0.0,Matches
1396,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,eng Premier League,23.0,2000.0,30.7,953.0,1234.0,77.2,13509.0,3584.0,610.0,700.0,87.1,279.0,363.0,76.9,39.0,72.0,54.2,3.0,7.7,6.7,-4.7,66.0,55.0,73.0,19.0,144.0,Matches
1397,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,18.0,2005.0,10.3,470.0,592.0,79.4,7036.0,1816.0,266.0,306.0,86.9,180.0,224.0,80.4,14.0,40.0,35.0,1.0,0.7,0.6,+0.3,5.0,30.0,11.0,4.0,42.0,Matches
1398,Marash Kumbulla,al ALB,DF,Sassuolo,it Serie A,23.0,2000.0,4.0,83.0,106.0,78.3,1761.0,785.0,20.0,22.0,90.9,52.0,59.0,88.1,8.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,Matches
1399,Justin Kumi,it ITA,FW,Sassuolo,it Serie A,19.0,2004.0,0.0,2.0,2.0,100.0,41.0,15.0,1.0,1.0,100.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
1400,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,30.0,1992.0,0.1,13.0,13.0,100.0,206.0,38.0,7.0,7.0,100.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
1401,Berkan Kutlu,tr TUR,MF,Genoa,it Serie A,25.0,1998.0,2.2,46.0,64.0,71.9,867.0,363.0,21.0,27.0,77.8,12.0,14.0,85.7,10.0,16.0,62.5,0.0,0.3,0.3,-0.3,5.0,7.0,4.0,3.0,5.0,Matches
1402,Daler Kuzyaev,ru RUS,MF,Le Havre,fr Ligue 1,30.0,1993.0,23.2,824.0,1050.0,78.5,12347.0,3407.0,422.0,511.0,82.6,305.0,360.0,84.7,42.0,77.0,54.5,2.0,1.3,1.3,+0.7,29.0,87.0,21.0,1.0,119.0,Matches
1403,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,22.0,2001.0,30.4,965.0,1200.0,80.4,15513.0,2850.0,541.0,598.0,90.5,300.0,372.0,80.6,96.0,162.0,59.3,6.0,6.8,5.4,-0.8,63.0,46.0,34.0,2.0,89.0,Matches
1404,Giorgi Kvernadze,ge GEO,"FW,DF",Frosinone,it Serie A,20.0,2003.0,0.7,31.0,36.0,86.1,498.0,57.0,17.0,18.0,94.4,10.0,11.0,90.9,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches
1405,Moritz-Broni Kwarteng,gh GHA,FW,Bochum,de Bundesliga,25.0,1998.0,3.1,67.0,94.0,71.3,990.0,208.0,37.0,42.0,88.1,25.0,36.0,69.4,3.0,9.0,33.3,1.0,0.5,0.1,+0.5,4.0,3.0,2.0,0.0,6.0,Matches
1406,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,27.0,1995.0,11.4,198.0,265.0,74.7,2891.0,584.0,98.0,122.0,80.3,47.0,65.0,72.3,22.0,27.0,81.5,1.0,1.2,1.1,-0.2,12.0,19.0,12.0,1.0,30.0,Matches
1407,Giorgos Kyriakopoulos,gr GRE,DF,Monza,it Serie A,27.0,1996.0,19.0,891.0,1080.0,82.5,15032.0,4779.0,446.0,472.0,94.5,366.0,434.0,84.3,64.0,120.0,53.3,3.0,1.4,2.0,+1.6,21.0,62.0,20.0,12.0,70.0,Matches
1408,Luca de la Torre,us USA,MF,Celta Vigo,es La Liga,25.0,1998.0,21.7,620.0,764.0,81.2,7881.0,2176.0,396.0,440.0,90.0,176.0,205.0,85.9,14.0,27.0,51.9,4.0,1.4,1.5,+2.6,17.0,58.0,7.0,0.0,93.0,Matches
1409,Gaëtan Laborde,fr FRA,"FW,MF",Nice,fr Ligue 1,29.0,1994.0,21.2,366.0,558.0,65.6,5696.0,1386.0,188.0,253.0,74.3,132.0,194.0,68.0,24.0,66.0,36.4,2.0,1.8,2.2,+0.2,27.0,25.0,26.0,12.0,46.0,Matches
1410,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,32.0,1991.0,25.5,397.0,561.0,70.8,5653.0,1574.0,211.0,283.0,74.6,113.0,156.0,72.4,29.0,46.0,63.0,2.0,1.9,2.1,+0.1,21.0,38.0,17.0,2.0,61.0,Matches
1411,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,23.0,2000.0,26.2,1228.0,1449.0,84.7,24787.0,9524.0,396.0,448.0,88.4,674.0,748.0,90.1,150.0,216.0,69.4,1.0,0.8,1.3,+0.2,8.0,91.0,6.0,2.0,79.0,Matches
1412,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,24.0,1999.0,27.7,720.0,1006.0,71.6,19485.0,13677.0,143.0,144.0,99.3,359.0,364.0,98.6,214.0,493.0,43.4,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,Matches
1413,Yoel Lago,es ESP,DF,Celta Vigo,es La Liga,19.0,2004.0,1.0,82.0,86.0,95.3,1376.0,591.0,35.0,38.0,92.1,43.0,43.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Matches
1414,Aïssa Laïdouni,tn TUN,MF,Union Berlin,de Bundesliga,26.0,1996.0,11.9,404.0,512.0,78.9,6574.0,1856.0,194.0,228.0,85.1,154.0,191.0,80.6,35.0,52.0,67.3,3.0,1.0,1.6,+2.0,12.0,38.0,17.0,5.0,56.0,Matches
1415,Konrad Laimer,at AUT,"DF,MF",Bayern Munich,de Bundesliga,26.0,1997.0,19.7,1294.0,1457.0,88.8,19611.0,5056.0,701.0,763.0,91.9,535.0,579.0,92.4,38.0,51.0,74.5,3.0,3.9,4.5,-0.9,24.0,104.0,26.0,7.0,127.0,Matches
1416,Stefan Lainer,at AUT,"DF,MF",Gladbach,de Bundesliga,30.0,1992.0,8.3,375.0,483.0,77.6,5727.0,1973.0,203.0,232.0,87.5,151.0,191.0,79.1,15.0,38.0,39.5,1.0,0.7,1.1,+0.3,8.0,22.0,12.0,4.0,37.0,Matches
1417,Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,31.0,1991.0,33.0,1713.0,2195.0,78.0,35548.0,12428.0,600.0,693.0,86.6,773.0,938.0,82.4,321.0,488.0,65.8,3.0,3.3,4.3,-0.3,35.0,164.0,45.0,19.0,200.0,Matches
1418,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,35.0,1988.0,9.4,451.0,509.0,88.6,4936.0,1088.0,326.0,352.0,92.6,78.0,90.0,86.7,7.0,8.0,87.5,1.0,1.7,2.0,-0.7,15.0,21.0,16.0,1.0,39.0,Matches
1419,Mathis Lambourde,fr FRA,FW,Rennes,fr Ligue 1,17.0,2006.0,0.1,4.0,5.0,80.0,45.0,13.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1420,Érik Lamela,ar ARG,"FW,MF",Sevilla,es La Liga,31.0,1992.0,5.1,142.0,174.0,81.6,1854.0,451.0,90.0,102.0,88.2,43.0,54.0,79.6,2.0,6.0,33.3,0.0,1.0,0.7,-1.0,12.0,11.0,6.0,2.0,17.0,Matches
1421,Mohamed Lamine Bayo,gn GUI,FW,Le Havre,fr Ligue 1,25.0,1998.0,15.4,201.0,310.0,64.8,2723.0,559.0,115.0,163.0,70.6,62.0,94.0,66.0,6.0,13.0,46.2,1.0,0.6,0.6,+0.4,13.0,17.0,11.0,1.0,20.0,Matches
1422,Didier Lamkel Zé,cm CMR,"FW,MF",Metz,fr Ligue 1,26.0,1996.0,6.1,137.0,190.0,72.1,2652.0,608.0,54.0,67.0,80.6,61.0,81.0,75.3,17.0,28.0,60.7,0.0,0.9,0.2,-0.9,6.0,14.0,3.0,0.0,19.0,Matches
1423,Tariq Lamptey,gh GHA,"DF,FW",Brighton,eng Premier League,22.0,2000.0,10.2,379.0,454.0,83.5,5485.0,916.0,217.0,242.0,89.7,135.0,163.0,82.8,13.0,22.0,59.1,3.0,1.2,0.8,+1.8,10.0,6.0,12.0,6.0,17.0,Matches
1424,Bruno Langa,mz MOZ,DF,Almería,es La Liga,25.0,1997.0,9.1,307.0,400.0,76.8,5062.0,2470.0,153.0,176.0,86.9,123.0,153.0,80.4,24.0,51.0,47.1,0.0,0.4,0.3,-0.4,7.0,18.0,8.0,3.0,25.0,Matches
1425,Gianluca Lapadula,pe PER,FW,Cagliari,it Serie A,33.0,1990.0,13.4,120.0,171.0,70.2,1645.0,217.0,72.0,91.0,79.1,34.0,42.0,81.0,6.0,11.0,54.5,1.0,1.1,0.7,-0.1,19.0,2.0,3.0,2.0,4.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
1426,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,29.0,1994.0,0.1,11.0,11.0,100.0,202.0,48.0,4.0,4.0,100.0,7.0,7.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1427,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,29.0,1993.0,20.2,883.0,1023.0,86.3,18687.0,7085.0,251.0,271.0,92.6,482.0,515.0,93.6,140.0,219.0,63.9,0.0,0.0,0.3,0.0,1.0,66.0,7.0,1.0,56.0,Matches
1428,Cyle Larin,ca CAN,FW,Mallorca,es La Liga,28.0,1995.0,20.3,184.0,294.0,62.6,2419.0,410.0,107.0,149.0,71.8,51.0,79.0,64.6,10.0,16.0,62.5,2.0,1.4,0.5,+0.6,11.0,8.0,1.0,0.0,13.0,Matches
1429,Yasser Larouci,dz ALG,DF,Sheffield Utd,eng Premier League,22.0,2001.0,5.9,131.0,185.0,70.8,1969.0,714.0,76.0,89.0,85.4,45.0,59.0,76.3,6.0,17.0,35.3,0.0,0.3,0.1,-0.3,2.0,11.0,0.0,0.0,14.0,Matches
1430,Hugo Larsson,se SWE,MF,Eint Frankfurt,de Bundesliga,19.0,2004.0,21.0,835.0,965.0,86.5,13897.0,3346.0,376.0,419.0,89.7,379.0,417.0,90.9,54.0,76.0,71.1,1.0,1.4,1.5,-0.4,10.0,52.0,8.0,4.0,68.0,Matches
1431,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,29.0,1993.0,12.0,669.0,774.0,86.4,11616.0,3694.0,252.0,275.0,91.6,383.0,421.0,91.0,29.0,61.0,47.5,0.0,0.1,0.1,-0.1,2.0,38.0,1.0,0.0,31.0,Matches
1432,Juanmi Latasa,es ESP,FW,Getafe,es La Liga,22.0,2001.0,17.3,192.0,368.0,52.2,2382.0,380.0,121.0,209.0,57.9,46.0,97.0,47.4,7.0,18.0,38.9,0.0,1.5,1.4,-1.5,19.0,13.0,8.0,0.0,16.0,Matches
1433,Toni Lato,es ESP,DF,Mallorca,es La Liga,25.0,1997.0,17.2,595.0,788.0,75.5,9743.0,3108.0,309.0,352.0,87.8,233.0,306.0,76.1,42.0,87.0,48.3,1.0,1.3,1.3,-0.3,10.0,26.0,14.0,9.0,39.0,Matches
1434,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,24.0,1998.0,32.3,628.0,908.0,69.2,9577.0,3171.0,363.0,434.0,83.6,198.0,292.0,67.8,41.0,112.0,36.6,4.0,4.0,3.9,0.0,47.0,49.0,36.0,6.0,99.0,Matches
1435,Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,19.0,2004.0,0.4,22.0,27.0,81.5,350.0,51.0,9.0,10.0,90.0,13.0,14.0,92.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,Matches
1436,Lázaro,br BRA,"FW,MF",Almería,es La Liga,21.0,2002.0,3.2,69.0,100.0,69.0,1137.0,308.0,35.0,47.0,74.5,24.0,29.0,82.8,6.0,13.0,46.2,0.0,0.5,0.3,-0.5,6.0,4.0,1.0,0.0,6.0,Matches
1437,Valentino Lazaro,at AUT,"DF,MF",Torino,it Serie A,27.0,1996.0,22.2,839.0,1106.0,75.9,13621.0,4761.0,425.0,467.0,91.0,323.0,426.0,75.8,63.0,143.0,44.1,4.0,2.9,2.9,+1.1,34.0,64.0,32.0,16.0,94.0,Matches
1438,Darko Lazović,rs SRB,"FW,MF",Hellas Verona,it Serie A,32.0,1990.0,21.4,431.0,671.0,64.2,7287.0,2845.0,218.0,265.0,82.3,155.0,233.0,66.5,49.0,116.0,42.2,2.0,4.4,3.5,-2.4,31.0,51.0,21.0,7.0,66.0,Matches
1439,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,29.0,1993.0,18.6,826.0,975.0,84.7,12173.0,3791.0,456.0,490.0,93.1,316.0,370.0,85.4,30.0,60.0,50.0,2.0,1.3,1.3,+0.7,9.0,57.0,12.0,8.0,62.0,Matches
1440,Théo Le Bris,fr FRA,"DF,MF",Lorient,fr Ligue 1,20.0,2002.0,16.8,531.0,680.0,78.1,7815.0,2186.0,305.0,360.0,84.7,195.0,243.0,80.2,16.0,34.0,47.1,2.0,1.6,1.1,+0.4,13.0,21.0,18.0,2.0,58.0,Matches
1441,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,25.0,1997.0,5.3,212.0,258.0,82.2,4339.0,1880.0,68.0,80.0,85.0,92.0,107.0,86.0,44.0,58.0,75.9,0.0,0.1,0.1,-0.1,2.0,18.0,0.0,0.0,24.0,Matches
1442,Julien Le Cardinal,fr FRA,DF,Lens,fr Ligue 1,25.0,1997.0,0.6,23.0,32.0,71.9,435.0,201.0,6.0,8.0,75.0,12.0,15.0,80.0,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Matches
1443,Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,25.0,1998.0,18.0,252.0,387.0,65.1,3702.0,739.0,145.0,196.0,74.0,73.0,105.0,69.5,18.0,37.0,48.6,0.0,1.0,1.5,-1.0,10.0,11.0,8.0,5.0,21.0,Matches
1444,Enzo Le Fée,fr FRA,MF,Rennes,fr Ligue 1,23.0,2000.0,17.0,897.0,1043.0,86.0,14631.0,4647.0,440.0,494.0,89.1,344.0,389.0,88.4,72.0,101.0,71.3,1.0,1.8,2.5,-0.8,28.0,112.0,26.0,2.0,124.0,Matches
1445,Vincent Le Goff,fr FRA,"DF,MF",Lorient,fr Ligue 1,33.0,1989.0,6.0,252.0,322.0,78.3,3932.0,1509.0,135.0,152.0,88.8,92.0,118.0,78.0,18.0,37.0,48.6,1.0,0.9,0.9,+0.1,9.0,17.0,4.0,0.0,22.0,Matches
1446,Robin Le Normand,es ESP,DF,Real Sociedad,es La Liga,26.0,1996.0,27.4,1562.0,1765.0,88.5,31232.0,8514.0,479.0,524.0,91.4,886.0,955.0,92.8,186.0,249.0,74.7,0.0,0.1,0.8,-0.1,3.0,94.0,0.0,0.0,106.0,Matches
1447,Nicola Leali,it ITA,GK,Genoa,it Serie A,30.0,1993.0,2.0,40.0,72.0,55.6,1453.0,1302.0,3.0,3.0,100.0,15.0,15.0,100.0,21.0,53.0,39.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Matches
1448,Rafael Leão,pt POR,FW,Milan,it Serie A,24.0,1999.0,27.9,760.0,1032.0,73.6,12177.0,3205.0,399.0,487.0,81.9,286.0,370.0,77.3,57.0,101.0,56.4,9.0,9.1,8.1,-0.1,59.0,65.0,62.0,17.0,117.0,Matches
1449,Adrien Lebeau,fr FRA,"MF,FW",Brest,fr Ligue 1,24.0,1999.0,0.6,19.0,29.0,65.5,284.0,93.0,10.0,13.0,76.9,7.0,8.0,87.5,1.0,4.0,25.0,1.0,0.5,0.3,+0.5,4.0,2.0,0.0,0.0,0.0,Matches
1450,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,37.0,1985.0,1.0,16.0,26.0,61.5,315.0,199.0,4.0,5.0,80.0,10.0,10.0,100.0,2.0,11.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
1451,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,32.0,1991.0,30.0,670.0,1006.0,66.6,19197.0,14917.0,102.0,104.0,98.1,303.0,312.0,97.1,260.0,580.0,44.8,1.0,0.5,0.1,+0.5,2.0,10.0,0.0,0.0,0.0,Matches
1452,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,30.0,1993.0,33.9,689.0,1186.0,58.1,26714.0,23314.0,77.0,79.0,97.5,245.0,248.0,98.8,367.0,850.0,43.2,0.0,0.1,0.2,-0.1,1.0,58.0,0.0,0.0,0.0,Matches
1453,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,30.0,1993.0,28.0,1425.0,1673.0,85.2,28610.0,9103.0,519.0,584.0,88.9,619.0,692.0,89.5,246.0,327.0,75.2,0.0,2.4,3.0,-2.4,27.0,152.0,22.0,3.0,193.0,Matches
1454,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,24.0,1999.0,30.0,1263.0,1581.0,79.9,23047.0,9175.0,511.0,569.0,89.8,596.0,687.0,86.8,126.0,249.0,50.6,0.0,0.2,0.7,-0.2,6.0,113.0,3.0,1.0,121.0,Matches
1455,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,25.0,1998.0,4.2,133.0,171.0,77.8,2803.0,1006.0,35.0,51.0,68.6,79.0,92.0,85.9,17.0,24.0,70.8,0.0,0.0,0.1,0.0,0.0,7.0,1.0,0.0,7.0,Matches
1456,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,32.0,1991.0,37.0,1636.0,2031.0,80.6,35738.0,16035.0,430.0,489.0,87.9,927.0,997.0,93.0,262.0,494.0,53.0,1.0,0.7,0.8,+0.3,9.0,137.0,5.0,1.0,114.0,Matches
1457,Stefan Lekovic,rs SRB,DF,Villarreal,es La Liga,19.0,2004.0,0.3,12.0,14.0,85.7,210.0,29.0,7.0,8.0,87.5,3.0,4.0,75.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1458,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,30.0,1993.0,22.2,1012.0,1273.0,79.5,17290.0,6247.0,440.0,499.0,88.2,489.0,577.0,84.7,69.0,143.0,48.3,2.0,1.1,0.9,+0.9,17.0,86.0,16.0,7.0,119.0,Matches
1459,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,27.0,1995.0,1.8,71.0,84.0,84.5,1019.0,285.0,41.0,46.0,89.1,25.0,29.0,86.2,2.0,6.0,33.3,0.0,0.0,0.1,0.0,1.0,10.0,1.0,0.0,13.0,Matches
1460,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29.0,1993.0,33.0,1261.0,1470.0,85.8,20364.0,5341.0,654.0,718.0,91.1,485.0,550.0,88.2,92.0,146.0,63.0,1.0,1.5,1.3,-0.5,20.0,65.0,8.0,3.0,76.0,Matches
1461,Álvaro Lemos,es ESP,DF,Las Palmas,es La Liga,30.0,1993.0,2.8,145.0,185.0,78.4,2198.0,488.0,89.0,95.0,93.7,46.0,60.0,76.7,9.0,23.0,39.1,0.0,0.0,0.1,0.0,0.0,12.0,2.0,0.0,17.0,Matches
1462,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,20.0,2003.0,0.1,6.0,6.0,100.0,90.0,11.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1463,Clément Lenglet,fr FRA,DF,Aston Villa,eng Premier League,28.0,1995.0,12.8,822.0,918.0,89.5,15524.0,5173.0,302.0,319.0,94.7,431.0,457.0,94.3,82.0,127.0,64.6,1.0,0.8,0.5,+0.2,2.0,34.0,3.0,0.0,51.0,Matches
1464,Bernd Leno,de GER,GK,Fulham,eng Premier League,31.0,1992.0,38.0,1250.0,1577.0,79.3,29886.0,18166.0,266.0,268.0,99.3,746.0,750.0,99.5,235.0,551.0,42.6,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,Matches
1465,Christopher Lenz,de GER,"DF,MF",RB Leipzig,de Bundesliga,28.0,1994.0,0.5,38.0,49.0,77.6,600.0,211.0,15.0,16.0,93.8,21.0,23.0,91.3,0.0,6.0,0.0,0.0,0.1,0.1,-0.1,1.0,3.0,0.0,0.0,2.0,Matches
1466,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28.0,1994.0,0.1,5.0,9.0,55.6,117.0,53.0,0.0,0.0,,4.0,4.0,100.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches
1467,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20.0,2002.0,2.8,165.0,186.0,88.7,2972.0,734.0,69.0,75.0,92.0,75.0,84.0,89.3,15.0,18.0,83.3,0.0,0.1,0.1,-0.1,3.0,22.0,0.0,0.0,24.0,Matches
1468,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,28.0,1994.0,26.7,1018.0,1250.0,81.4,15825.0,5095.0,554.0,625.0,88.6,371.0,448.0,82.8,65.0,114.0,57.0,1.0,2.2,2.0,-1.2,24.0,109.0,20.0,3.0,106.0,Matches
1469,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23.0,2000.0,5.5,132.0,184.0,71.7,2315.0,933.0,60.0,79.0,75.9,52.0,66.0,78.8,16.0,25.0,64.0,1.0,0.7,0.1,+0.3,4.0,12.0,2.0,0.0,21.0,Matches
1470,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34.0,1988.0,30.6,416.0,592.0,70.3,5780.0,1192.0,248.0,311.0,79.7,120.0,168.0,71.4,21.0,35.0,60.0,8.0,4.9,3.6,+3.1,27.0,27.0,25.0,4.0,64.0,Matches
1471,Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,22.0,2001.0,16.9,470.0,599.0,78.5,6491.0,1524.0,291.0,337.0,86.4,136.0,175.0,77.7,21.0,41.0,51.2,4.0,3.2,3.1,+0.8,23.0,19.0,18.0,10.0,35.0,Matches
1472,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,18.0,2004.0,9.0,518.0,568.0,91.2,7100.0,1127.0,339.0,351.0,96.6,159.0,170.0,93.5,12.0,20.0,60.0,0.0,1.1,1.2,-1.1,13.0,29.0,9.0,0.0,33.0,Matches
