Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
159,Carlos Augusto,br BRA,DF,Inter,it Serie A,24.0,1999.0,19.2,921.0,1099.0,83.8,14740.0,4852.0,466.0,509.0,91.6,369.0,422.0,87.4,61.0,95.0,64.2,3.0,2.8,2.1,+0.2,19.0,45.0,15.0,9.0,54.0,Matches
160,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,22.0,2000.0,10.0,590.0,641.0,92.0,10225.0,2915.0,238.0,253.0,94.1,296.0,313.0,94.6,47.0,55.0,85.5,0.0,0.5,0.4,-0.5,1.0,27.0,4.0,1.0,30.0,Matches
161,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,30.0,1992.0,9.3,348.0,448.0,77.7,5238.0,2147.0,191.0,225.0,84.9,130.0,156.0,83.3,17.0,45.0,37.8,2.0,0.5,0.5,+1.5,4.0,31.0,9.0,4.0,47.0,Matches
162,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29.0,1994.0,9.6,232.0,371.0,62.5,5068.0,1419.0,94.0,122.0,77.0,75.0,118.0,63.6,59.0,109.0,54.1,3.0,2.3,2.7,+0.7,21.0,25.0,18.0,7.0,39.0,Matches
163,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,29.0,1994.0,3.3,55.0,91.0,60.4,914.0,180.0,26.0,30.0,86.7,18.0,30.0,60.0,6.0,17.0,35.3,0.0,0.1,0.1,-0.1,2.0,2.0,2.0,0.0,6.0,Matches
164,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25.0,1997.0,11.6,127.0,175.0,72.6,1594.0,312.0,88.0,111.0,79.3,34.0,47.0,72.3,3.0,5.0,60.0,3.0,1.7,0.9,+1.3,10.0,6.0,3.0,0.0,14.0,Matches
165,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,33.0,1989.0,12.3,197.0,266.0,74.1,2678.0,655.0,127.0,157.0,80.9,55.0,72.0,76.4,5.0,9.0,55.6,0.0,0.8,0.5,-0.8,8.0,26.0,4.0,1.0,23.0,Matches
166,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,31.0,1991.0,28.3,681.0,920.0,74.0,9753.0,1856.0,417.0,478.0,87.2,213.0,285.0,74.7,24.0,74.0,32.4,7.0,4.2,2.7,+2.8,25.0,43.0,26.0,10.0,63.0,Matches
167,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,22.0,2001.0,17.4,576.0,670.0,86.0,8486.0,2193.0,302.0,344.0,87.8,209.0,230.0,90.9,25.0,43.0,58.1,2.0,0.8,0.9,+1.2,16.0,66.0,10.0,1.0,59.0,Matches
168,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,28.0,1995.0,6.5,108.0,156.0,69.2,1497.0,361.0,69.0,90.0,76.7,34.0,42.0,81.0,2.0,5.0,40.0,0.0,1.4,0.5,-1.4,8.0,9.0,4.0,1.0,14.0,Matches
169,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,33.0,1989.0,15.8,867.0,1035.0,83.8,13049.0,5238.0,490.0,522.0,93.9,300.0,353.0,85.0,51.0,111.0,45.9,2.0,2.4,1.9,-0.4,15.0,74.0,15.0,2.0,77.0,Matches
170,Paulo Azzi,br BRA,"DF,MF",Cagliari,it Serie A,29.0,1994.0,10.6,322.0,487.0,66.1,5033.0,2123.0,175.0,216.0,81.0,119.0,181.0,65.7,19.0,59.0,32.2,0.0,0.7,0.4,-0.7,9.0,24.0,10.0,6.0,35.0,Matches
171,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,22.0,2001.0,6.1,352.0,390.0,90.3,6100.0,1161.0,159.0,174.0,91.4,138.0,147.0,93.9,42.0,50.0,84.0,2.0,0.6,0.2,+1.4,6.0,21.0,0.0,0.0,19.0,Matches
172,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,18.0,2004.0,0.0,3.0,4.0,75.0,40.0,0.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
173,Iddrisu Baba,gh GHA,MF,Almería,es La Liga,27.0,1996.0,15.9,543.0,654.0,83.0,10011.0,2718.0,207.0,245.0,84.5,272.0,308.0,88.3,52.0,67.0,77.6,0.0,0.6,0.4,-0.6,6.0,51.0,3.0,2.0,60.0,Matches
